Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.47.29,--,5G NSA,-120,-13.0,13.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.30,--,5G NSA,-118,-13.0,13.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.31,--,5G NSA,-112,-12.0,14.0,34,38,D,PERIODIC,mcar
2024.06.13_18.47.32,--,5G NSA,-106,-11.0,19.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.33,--,5G NSA,-103,-11.0,22.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.34,--,5G NSA,-106,-11.0,22.0,7,11,D,PERIODIC,mcar
2024.06.13_18.47.35,--,5G NSA,-108,-11.0,21.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.36,--,5G NSA,-117,-12.0,20.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.37,--,5G NSA,-116,-12.0,16.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.38,--,5G NSA,-112,-12.0,13.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.39,--,5G NSA,-113,-12.0,11.0,6,8,D,PERIODIC,mcar
2024.06.13_18.47.40,--,5G NSA,-110,-11.0,10.0,4,7,D,PERIODIC,mcar
2024.06.13_18.47.41,--,5G NSA,-113,-11.0,10.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.42,--,5G NSA,-112,-11.0,9.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.43,--,5G NSA,-110,-11.0,8.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.44,--,5G NSA,-114,-11.0,7.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.45,--,5G NSA,-117,-13.0,7.0,6,14,D,PERIODIC,mcar
2024.06.13_18.47.46,--,5G NSA,-116,-13.0,6.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.47,--,5G NSA,-116,-12.0,5.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.48,--,5G NSA,-118,-13.0,4.0,4,5,D,PERIODIC,mcar
2024.06.13_18.47.49,--,5G NSA,-118,-13.0,4.0,6,15,D,PERIODIC,mcar
2024.06.13_18.47.50,--,5G NSA,-121,-15.0,3.0,4,6,D,PERIODIC,mcar
2024.06.13_18.47.51,--,5G NSA,-106,-15.0,3.0,57,48,D,PERIODIC,mcar
2024.06.13_18.47.52,--,5G NSA,-117,-13.0,2.0,2347,47,D,PERIODIC,mcar
2024.06.13_18.47.53,--,5G NSA,-114,-13.0,0.0,3400,30,D,PERIODIC,mcar
2024.06.13_18.47.54,--,5G NSA,-116,-13.0,1.0,3467,104,D,PERIODIC,mcar
2024.06.13_18.47.55,--,5G NSA,-114,-12.0,-1.0,2511,149,D,PERIODIC,mcar
2024.06.13_18.47.56,--,5G NSA,-112,-12.0,-2.0,2529,189,D,PERIODIC,mcar
2024.06.13_18.47.57,--,5G NSA,-111,-12.0,-3.0,2299,58,D,PERIODIC,mcar
2024.06.13_18.47.58,--,5G NSA,-109,-11.0,-5.0,2089,26,D,PERIODIC,mcar
2024.06.13_18.47.59,--,5G NSA,-108,-11.0,0.0,3262,67,D,PERIODIC,mcar
2024.06.13_18.48.00,--,5G NSA,-98,-11.0,0.0,411,25,D,PERIODIC,mcar
2024.06.13_18.48.01,--,5G NSA,-90,-11.0,0.0,4,10,D,PERIODIC,mcar
2024.06.13_18.48.02,--,5G NSA,-88,-11.0,10.0,8,11,D,PERIODIC,mcar
2024.06.13_18.48.03,--,5G NSA,-91,-11.0,17.0,4,5,D,PERIODIC,mcar
