Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.06.53,--,5G NSA,-111,-12.0,3.0,4,5,D,PERIODIC,mc8
2024.06.15_09.06.54,--,5G NSA,-109,-12.0,4.0,4,6,D,PERIODIC,mc8
2024.06.15_09.06.55,--,5G NSA,-109,-12.0,5.0,4,7,D,PERIODIC,mc8
2024.06.15_09.06.56,--,5G NSA,-109,-12.0,4.0,794,36,D,PERIODIC,mc8
2024.06.15_09.06.57,--,5G NSA,-106,-12.0,5.0,4526,147,D,PERIODIC,mc8
2024.06.15_09.06.58,--,5G NSA,-109,-12.0,4.0,2522,137,D,PERIODIC,mc8
2024.06.15_09.06.59,--,5G NSA,-109,-12.0,4.0,2525,134,D,PERIODIC,mc8
2024.06.15_09.07.00,--,5G NSA,-108,-12.0,5.0,2507,149,D,PERIODIC,mc8
2024.06.15_09.07.01,--,5G NSA,-107,-12.0,5.0,787,41,D,PERIODIC,mc8
2024.06.15_09.07.02,--,5G NSA,-111,-12.0,4.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.03,--,5G NSA,-110,-12.0,5.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.04,--,5G NSA,-106,-12.0,5.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.05,--,5G NSA,-107,-12.0,6.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.06,--,5G NSA,-107,-12.0,5.0,4,6,D,PERIODIC,mc8
2024.06.15_09.07.07,--,5G NSA,-109,-12.0,4.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.08,--,5G NSA,-111,-12.0,4.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.09,--,5G NSA,-114,-12.0,3.0,4,15,D,PERIODIC,mc8
2024.06.15_09.07.10,--,5G NSA,-118,-12.0,2.0,6,7,D,PERIODIC,mc8
2024.06.15_09.07.11,--,5G NSA,-103,-15.0,1.0,4,6,D,PERIODIC,mc8
2024.06.15_09.07.12,--,5G NSA,-108,-15.0,-2.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.13,--,5G NSA,-105,-15.0,0.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.14,--,5G NSA,-101,-14.0,1.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.15,--,5G NSA,-101,-13.0,0.0,7,6,D,PERIODIC,mc8
2024.06.15_09.07.16,--,5G NSA,-96,-13.0,3.0,4,7,D,PERIODIC,mc8
2024.06.15_09.07.17,--,5G NSA,-111,-11.0,8.0,4,6,D,PERIODIC,mc8
2024.06.15_09.07.18,--,5G NSA,-118,-12.0,2.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.19,--,5G NSA,-113,-12.0,7.0,5,4,D,PERIODIC,mc8
2024.06.15_09.07.20,--,5G NSA,-110,-12.0,11.0,13,26,D,PERIODIC,mc8
2024.06.15_09.07.21,--,5G NSA,-114,-12.0,14.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.22,--,5G NSA,-116,-13.0,14.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.23,--,5G NSA,-113,-13.0,15.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.24,--,5G NSA,-111,-12.0,14.0,23,32,D,PERIODIC,mc8
2024.06.15_09.07.25,--,5G NSA,-113,-12.0,14.0,16,9,D,PERIODIC,mc8
2024.06.15_09.07.26,--,5G NSA,-112,-12.0,15.0,7,15,D,PERIODIC,mc8
2024.06.15_09.07.27,--,5G NSA,-112,-12.0,15.0,5,5,D,PERIODIC,mc8
2024.06.15_09.07.28,--,5G NSA,-112,-12.0,16.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.29,--,5G NSA,-112,-12.0,16.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.30,--,5G NSA,-113,-12.0,18.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.31,--,5G NSA,-114,-12.0,17.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.32,--,5G NSA,-116,-13.0,17.0,5,7,D,PERIODIC,mc8
2024.06.15_09.07.33,--,5G NSA,-115,-13.0,18.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.34,--,5G NSA,-119,-13.0,17.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.35,--,5G NSA,-116,-13.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.36,--,5G NSA,-118,-13.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.37,--,5G NSA,-116,-13.0,19.0,5,6,D,PERIODIC,mc8
2024.06.15_09.07.38,--,5G NSA,-117,-13.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.39,--,5G NSA,-117,-13.0,21.0,7,20,D,PERIODIC,mc8
2024.06.15_09.07.40,--,5G NSA,-117,-13.0,22.0,7,7,D,PERIODIC,mc8
2024.06.15_09.07.41,--,5G NSA,-120,-13.0,21.0,4,6,D,PERIODIC,mc8
2024.06.15_09.07.42,--,5G NSA,-118,-13.0,21.0,5,7,D,PERIODIC,mc8
2024.06.15_09.07.43,--,5G NSA,-118,-13.0,23.0,6,5,D,PERIODIC,mc8
2024.06.15_09.07.44,--,LTE,-340,-20.0,21.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.45,--,LTE,-340,-20.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.46,--,5G NSA,-94,-11.0,25.0,2,5,D,PERIODIC,mc8
2024.06.15_09.07.47,--,5G NSA,-96,-11.0,22.0,9,14,D,PERIODIC,mc8
2024.06.15_09.07.48,--,5G NSA,-95,-11.0,23.0,4,8,D,PERIODIC,mc8
2024.06.15_09.07.49,--,5G NSA,-92,-11.0,24.0,29,30,D,PERIODIC,mc8
2024.06.15_09.07.50,--,5G NSA,-95,-11.0,27.0,2,5,D,PERIODIC,mc8
2024.06.15_09.07.52,--,5G NSA,-98,-11.0,27.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.53,--,5G NSA,-97,-11.0,26.0,8,6,D,PERIODIC,mc8
2024.06.15_09.07.54,--,5G NSA,-94,-11.0,24.0,7,6,D,PERIODIC,mc8
2024.06.15_09.07.55,--,5G NSA,-95,-11.0,24.0,0,5,D,PERIODIC,mc8
